黑龙江移动,#genre#
江苏卫视,http://221.7.175.154:8445/tsfile/live/0127_1.m3u8
吉林卫视,http://221.7.175.154:8445/tsfile/live/1014_1.m3u8
湖北卫视,http://221.7.175.154:8445/tsfile/live/0132_1.m3u8
四川卫视,http://221.7.175.154:8445/tsfile/live/0123_1.m3u8
贵州卫视,http://221.7.175.154:8445/tsfile/live/0120_1.m3u8
重庆卫视,http://221.7.175.154:8445/tsfile/live/0142_1.m3u8
安徽卫视,http://221.7.175.154:8445/tsfile/live/0130_1.m3u8
天津卫视,http://221.7.175.154:8445/tsfile/live/0135_1.m3u8
广东卫视,http://221.7.175.154:8445/tsfile/live/0125_1.m3u8
广西卫视,http://221.7.175.154:8445/tsfile/live/0113_2.m3u8
深圳卫视,http://221.7.175.154:8445/tsfile/live/0126_1.m3u8
辽宁卫视,http://221.7.175.154:8445/tsfile/live/0121_1.m3u8
兵团卫视,http://221.7.175.154:8445/tsfile/live/0115_1.m3u8
卡酷卡通,http://221.7.175.154:8445/tsfile/live/1015_1.m3u8
金鹰卡通,http://221.7.175.154:8445/tsfile/live/1016_1.m3u8
西藏卫视,http://221.7.175.154:8445/tsfile/live/1017_1.m3u8
文物宝库,http://221.7.175.154:8445/tsfile/live/1019_1.m3u8
广西综艺,http://221.7.175.154:8445/tsfile/live/1023_1.m3u8
广西影视,http://221.7.175.154:8445/tsfile/live/1024_1.m3u8
广西新闻,http://221.7.175.154:8445/tsfile/live/1025_1.m3u8
北海经济科教,http://221.7.175.154:8445/tsfile/live/1026_1.m3u8
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8
凤凰资讯,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8
凤凰影视,http://221.7.175.154:8445/tsfile/live/1022_1.m3u8
强盛城市海岸[1280*720],http://221.7.175.154:8445/tsfile/live/1027_1.m3u8
陕西电信,#genre#
CCTV1综合,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221225942/index.m3u8
家庭影院,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221226315/index.m3u8
农林卫视,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221225521/index.m3u8
陕西新闻资讯,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221225639/index.m3u8
陕西生活,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221225531/index.m3u8
陕西影视,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221225532/index.m3u8
陕西公共,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221225533/index.m3u8
陕西体育休闲,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221225535/index.m3u8
西安新闻综合,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221225668/index.m3u8
西安教育电视台,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221226037/index.m3u8
长安一套,https://ngtv.sjpt.ylrb.com/PLTV/88888888/224/3221225896/index.m3u8
